period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2025-08,82 King Street West,,Stoney Creek,Dental Offices,Alteration,675000,43.21888,-79.76546,25-102456 C9
2025-08,875 Upper Wentworth Street,,Hamilton,Dental Offices,Alteration,516600,43.22096,-79.86232,25-101937 C9
2025-07,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,5000000,43.25461,-79.90266,25-102176 I3
2025-07,427 Dundas Street East,,Flamborough,Medical Offices,Alteration,30000,43.34131,-79.88378,25-101864 C3
2025-07,65 King Street East,,Hamilton,Medical Offices,Alteration,,43.25634,-79.86697,24-8188-01 C9
2025-06,461 Green Road,,Stoney Creek,Dental Offices,Alteration,50000,43.23962,-79.72574,25-101676 C3
2025-06,2783 King Street East,,Hamilton,Dental Offices,Alteration,30000,43.22059,-79.77317,25-101423 C9
2025-06,2255 Barton Street East,,Hamilton,Medical Offices,Alteration,800000,43.23971,-79.77096,25-101026 C3
2025-06,82 King Street West,,Stoney Creek,Dental Offices,Alteration,50000,43.21888,-79.76546,25-100533-01 C9
2025-05,232 Cannon Street East,,Hamilton,Medical Offices,Alteration,50000,43.25799,-79.85673,25-101470 C3
2025-05,82 King Street West,,Stoney Creek,Dental Offices,Alteration,100000,43.21888,-79.76546,25-101464 C9
2025-05,65 Mall Road,,Hamilton,Dental Offices,Alteration,100000,43.22095,-79.86038,25-100475 C3
2025-05,240 Wilson Street East,,Ancaster,Dental Offices,Alteration,49000,43.2234,-79.97841,25-100403 C9
2025-04,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,85000,43.26216,-79.85235,25-100802 C3
2025-04,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,500000,43.25461,-79.90266,24T-2701 I3
2025-04,466 Highway No. 8,,Stoney Creek,Nursing Homes,Foundation,675386,43.21641,-79.71756,24T-3475 G3
2025-04,466 Highway No. 8,,Stoney Creek,Nursing Homes,New Construction,80000000,43.21641,-79.71756,24T-3158 G3
2025-03,10 Governor's Road,,Dundas,Medical Offices,Addition,1180000,43.26278,-79.95375,24T-4764 C9
2025-03,56 Governor's Road,,Dundas,Nursing Homes,Alteration,750000,43.26185,-79.95782,24-8211 G3
2025-03,101 Locke Street South,,Hamilton,Dental Offices,Alteration,590000,43.25767,-79.88445,24-8711 C3
2025-03,110 King Street West,,Hamilton,Dental Offices,Alteration,50000,43.25764,-79.87129,25-100043 C3
2025-03,595 Barton Street East,,Hamilton,Medical Offices,Alteration,150000,43.25776,-79.83998,25-100478 C9
2025-03,625 Greenhill Avenue,,Hamilton,Dental Offices,Alteration,90000,43.2102,-79.78649,25-100141 C3
2025-03,1334 South Service Road,,Stoney Creek,Medical Offices,Alteration,85000,43.21706,-79.64207,25-100161 C3
2025-02,1151 Garner Road West,,Ancaster,Dental Offices,Alteration,900000,43.19596,-80.01885,24-8906 C3
2025-02,1411 Upper Wellington Street,,Hamilton,Nursing Homes,Alteration,100000,43.21006,-79.87831,24-7810 G3
2025-02,775 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,50000,43.22438,-79.86117,24-7906 C3
2025-01,401 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,300000,43.26532,-79.85188,24T-1483 C3
2025-01,554 John Street North,,Hamilton,Medical Offices,Alteration,50000,43.27275,-79.85836,24-8248 C3
2025-01,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,75000,43.22185,-79.86106,24T-7299 C3
2025-01,69 King Street East,,Stoney Creek,Medical Offices,Alteration,125000,43.21653,-79.75451,24-8188 C9
2024-12,841 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,150000,43.22202,-79.86179,24-7909 C9
2024-12,1217 Main Street East,,Hamilton,Medical Offices,Alteration,80000,43.24235,-79.81786,24T-6431 C9
2024-12,125 Wentworth Street South,,Hamilton,Nursing Homes,Alteration,190000,43.24791,-79.85048,24T-7093 G3
2024-11,1142 Wilson Street West,,Ancaster,Medical Offices,Backflow Preventer,100000,43.19694,-80.01796,24T-3203 PPP
2024-11,105 Clappison Avenue,,Flamborough,Medical Offices,Tenant Improvement,25000,43.3234,-79.92224,24T-3711 C3
2024-11,554 John Street North,,Hamilton,Medical Offices,Alteration,700000,43.27275,-79.85836,24T-6739 C3
2024-11,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Addition,32385000,43.22605,-79.84947,24T-5138 G3
2024-11,267 Upper Centennial Parkway,,Stoney Creek,Dental Offices,Alteration,250000,43.19106,-79.76937,24-7485 C3
2024-10,1411 Upper Wellington Street,,Hamilton,Nursing Homes,New Construction,750000,43.21006,-79.87831,23T-126317-01 G3
2024-10,45 Lockton Crescent,,Hamilton,Nursing Homes,Alteration,550000,43.21156,-79.84743,24T-2306 G3
2024-10,538 Upper Wellington Street,,Hamilton,Medical Offices,Addition,90000,43.2395,-79.86672,24T-3346 C9
2024-10,723 Rymal Road West,,Hamilton,Medical Offices,Alteration,5000,43.20988,-79.92658,24T-4747 C3
2024-10,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,15000,43.26216,-79.85235,24T-6169 C3
2024-09,326 Wilson Street East,,Ancaster,Medical Offices,Alteration,80000,43.22615,-79.97638,22T-153635-01 C9
2024-09,105 Clappison Avenue,,Flamborough,Medical Offices,Alteration,220000,43.3234,-79.92224,24T-2167 C3
2024-09,267 Upper Centennial Parkway,Unit 3,Stoney Creek,Medical Offices,Tenant Improvement,90000,43.19106,-79.76937,24T-2917 C3
2024-09,270 Longwood Road South,Building B,Hamilton,Laboratory - Industrial,Alteration,200000,43.25461,-79.90266,24T-4792 I3
2024-09,1079 Barton Street East,,Hamilton,Medical Offices,Alteration,30000,43.25175,-79.81646,24T-6220 C9
2024-09,449 Sanatorium Road,,Hamilton,Nursing Homes,Alteration,10000,43.23563,-79.91486,24T-6369 G3
2024-08,516 Upper James Street,,Hamilton,Medical Offices,Alteration,30000,43.24222,-79.87627,23T-309520 C9
2024-08,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,100000,43.26216,-79.85235,23T-316527 C3
2024-08,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,150000,43.26216,-79.85235,24T-1514 C3
2024-08,1280 Mohawk Road,,Hamilton,Medical Offices,Alteration,100000,43.23281,-79.93205,24T-3959 C9
2024-08,385 Highland Road West,,Stoney Creek,Nursing Homes,Alteration,150000,43.18786,-79.80295,24T-4020 G3
2024-08,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Foundation,1615000,43.22605,-79.84947,24T-4040 G3
2024-08,840 Queenston Road,,Stoney Creek,Dental Offices,Alteration,100000,43.22716,-79.76166,24T-4670 C3
2024-07,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,30000,43.22185,-79.86106,24T-185557 C3
2024-07,270 Longwood Road South,,Hamilton,Laboratory - Commercial,Alteration,770000,43.25461,-79.90266,23T-314453 I3
2024-07,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,100000,43.25461,-79.90266,22T-151762 01 I3
2024-07,449 Sanatorium Road,,Hamilton,Nursing Homes,Alteration,10000,43.23563,-79.91486,24T-4107 G3
2024-06,105 Clappison Avenue,,Flamborough,Medical Offices,Alteration,,43.3234,-79.92224,23T-115372 01 C3
2024-06,231 King Street East,,Hamilton,Medical Offices,Alteration,150000,43.24423,-79.83324,23T-134576 C3
2024-06,1447 Upper Ottawa Street,,Hamilton,Dental Offices,Tenant Improvement,250000,43.19615,-79.84105,24T-0050 C3
2024-06,115 Hamilton Street North,,Flamborough,Dental Offices,Alteration,10000,43.3355,-79.90245,24T-1037 C3
2024-06,17 Queen Street South,,Hamilton,Medical Offices,Alteration,15000,43.25871,-79.87862,24T-185341 C9
2024-06,2255 Barton Street East,,Hamilton,Medical Offices,Alteration,1200000,43.23971,-79.77096,24T-2221 C3
2024-06,63 Highway No. 5 West,,Flamborough,Laboratory - Commercial,Alteration,10000,43.30802,-79.92336,24T-3093 I3
2024-05,57 Bittern Street,Unit 27,Ancaster,Laboratory - Industrial,Alteration,10000,43.19141,-80.02399,24T-0472 I3
2024-05,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,150000,43.26216,-79.85235,24T-0152 C3
2024-05,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,50000,43.22185,-79.86106,24T-0810 C3
2024-05,67 Kenilworth Avenue North,,Hamilton,Medical Offices,Alteration,30000,43.24247,-79.8094,24T-1033 C9
2024-04,160 King Street West,,Dundas,Medical Offices,Tenant Improvement,133360,43.26695,-79.96101,23T-316938-00 C3
2024-04,1685 Main Street West,,Hamilton,Medical Offices,Alteration,150000,43.25675,-79.93463,24T-0197-00 C3
2024-04,1955 King Street East,,Hamilton,Medical Offices,Alteration,30000,43.23178,-79.8044,23T-314709-00 C3
2024-04,730 Upper James Street,,Hamilton,Medical Offices,Alteration,110000,43.23096,-79.88132,24T-0107-00 C3
2024-04,891 Upper James Street,Unit 106A,Hamilton,Dental Offices,Alteration,20000,43.22592,-79.88217,24T-184336-00 C3
2024-03,1411 Upper Wellington Street,,Hamilton,Nursing Homes,New Construction,110000000,43.21006,-79.87831,23T-126317-00 R3
2024-03,26 Legend Court,,Ancaster,Medical Offices,Alteration,150000,43.2274,-79.94799,24T-184122-00 C3
2024-02,1280 Mohawk Road,,Ancaster,Medical Offices,Alteration,100000,43.23281,-79.93205,23 316922 000 00 C9
2024-02,12 Tranquility Avenue,,Ancaster,Nursing Homes,Addition (NR),10000,43.21126,-80.00716,23 317000 000 00 G3
2024-02,54 Wilson Street West,,Ancaster,Dental Offices,Alteration,80000,43.21563,-79.98913,24 181377 000 00 C3
2024-02,56 Head Street,,Dundas,Laboratory - Industrial,Alteration,50000,43.26825,-79.97518,24 182243 000 00 I3
2024-01,369 Barton Street East,,Hamilton,Medical Offices,Alteration,30000,43.26025,-79.84936,23-128352-00 C9
2024-01,1280 Mohawk Road,,Ancaster,Medical Offices,Alteration,350000,43.23281,-79.93205,23-306317-00 C9
2024-01,1295 Cormorant Road,,Ancaster,Laboratory - Industrial,Alteration,100000,43.18886,-80.022,23-316890-00 I3
2024-01,15 Mountain Avenue South,,Stoney Creek,Medical Offices,Alteration,75000,43.21565,-79.75661,23-317084-00 C3
2023-12,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,240000,43.26216,-79.85235,23-132705-00 C3
2023-12,105 Clappison Avenue,,Flamborough,Medical Offices,Alteration,120000,43.3234,-79.92224,23-138541-00 C3
2023-12,107 Appleblossom Drive,,Hamilton,Nursing Homes,Replace,40000,43.21649,-79.89715,23-138703-00 R9
2023-12,245 Mill Street,,Dundas,Medical Offices,Alteration,230000,43.26626,-79.96632,23-305606-00 C9
2023-12,145 Hamilton Street North,,Flamborough,Dental Offices,Alteration,10000,43.33378,-79.89961,23-308925-00 C3
2023-11,1208 Main Street East,,Hamilton,Dental Offices,Alteration,25000,43.24218,-79.81918,20-199201-00 C9
2023-11,145 Hamilton Street North,,Flamborough,Dental Offices,Alteration,500000,43.33378,-79.89961,23-136065-00 C3
2023-11,460 Wentworth Street North,,Hamilton,Medical Offices,Alteration,100000,43.26478,-79.84312,23-136804-00 C3
2023-11,999 Upper Wentworth Street,,Hamilton,Dental Offices,Alteration,325000,43.21616,-79.8629,23-139475-00 C3
2023-11,105 Clappison Avenue,,Flamborough,Medical Offices,Alteration,107400,43.3234,-79.92224,23-308006-00 C3
2023-10,357 Main Street East,,Hamilton,Medical Offices,Alteration,100000,43.25182,-79.85524,22-153762-00 C9
2023-10,1223 Barton Street East,,Hamilton,Medical Offices,Alteration,35000,43.25113,-79.81005,23-128175-00 C3
2023-10,15 Mountain Avenue South,,Stoney Creek,Medical Offices,Alteration,10000,43.21565,-79.75661,23-304922-00 C3
2023-09,56 Governor's Road,,Dundas,Nursing Homes,Alteration,16000000,43.26185,-79.95782,22-154159-00 G3
2023-09,130 Lancing Drive,,Hamilton,Laboratory - Industrial,Alteration,10000,43.19097,-79.84037,23-129679-00 I9
2023-09,444 Concession Street,,Hamilton,Medical Offices,Alteration,250000,43.24199,-79.85686,23-131222-00 C3
2023-09,130 Lancing Drive,,Hamilton,Laboratory - Industrial,Alteration,300000,43.19097,-79.84037,23-134001-00 I9
2023-08,2579 King Street East,,Hamilton,Medical Offices,Alteration,100000,43.22381,-79.78344,23-117789-00 C9
2023-08,891 Upper James Street,,Hamilton,Dental Offices,Alteration,550000,43.22592,-79.88217,23-128504-00 C3
2023-08,2179 King Street East,,Hamilton,Dental Offices,Alteration,10000,43.23092,-79.80042,23-128594-00 C9
2023-08,688 Queensdale Avenue East,,Hamilton,Medical Offices,Alteration,30000,43.23396,-79.8468,23-129783-00 C9
2023-08,920 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,100000,43.21985,-79.86416,23-130019-00 C3
2023-08,612 King Street West,,Hamilton,Medical Offices,Alteration,5000,43.26223,-79.88683,23-131375-00 C3
2023-08,1411 Upper Wellington Street,,Hamilton,Nursing Homes,Foundation,17000000,43.21006,-79.87831,23-137370-00 G3
2023-07,326 Wilson Street East,,Ancaster,Medical Offices,Alteration,80000,43.22615,-79.97638,22-153635-00 C9
2023-07,105 Clappison Avenue,,Flamborough,Medical Offices,New Construction,8846960,43.3234,-79.92224,23-115372-00 C3
2023-07,840 Queenston Road,,Stoney Creek,Medical Offices,Alteration,18000,43.22716,-79.76166,23-118745-00 C3
2023-07,1050 Burlington Street East,,Hamilton,Laboratory - Industrial,Alteration,500000,43.26309,-79.81898,23-121133-00 I3
2023-06,444 Concession Street,,Hamilton,Medical Offices,Alteration,700000,43.24199,-79.85686,23-105783-00 C3
2023-06,304 Victoria Avenue North,,Hamilton,Medical Offices,Tenant Improve,190000,43.26216,-79.85235,23-114072-00 C3
2023-06,1290 Arvin Avenue,,Stoney Creek,Laboratory - Industrial,Alteration,30000,43.21519,-79.65556,23-116485-00 I3
2023-06,56 Governor's Road,,Dundas,Nursing Homes,Alteration,644900,43.26185,-79.95782,23-119066-00 G3
2023-05,1057 Main Street West,,Hamilton,Medical Offices,Alteration,,43.25801,-79.90862,22-155655-01 C9
2023-05,183 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,75000,43.25601,-79.9011,23-109884-00 I3
2023-05,1223 Barton Street East,,Hamilton,Medical Offices,Alteration,750000,43.25113,-79.81005,23-111749-00 C3
2023-04,150 Main Street West,,Hamilton,Medical Offices,Tenant Improve,11500,43.25715,-79.87598,22-126965-01 C3
2023-04,209 MacNab Street South,,Hamilton,Dental Offices,Alteration,60000,43.25024,-79.87326,23-106037-00 C9
2023-04,53 Augusta Street,,Hamilton,Dental Offices,Alteration,150000,43.25186,-79.86883,23-111609-00 C9
