issue_date,year,month_number,permit_date,job_category,address,legal_description,neighbourhood,neighbourhood_numberr,job_description,building_type,work_type,floor_area,construction_value,zoning,units_added,latitude,longitude,location,count,house_number
2017-11-07T00:00:00.000,2017,11,2017-11-07T00:00:00.000,Commercial Final,"135, 3210 - 118 AVENUE NW",Plan 8820078 Blk 12 Lot 3,ABBOTTSFIELD,2010,To install roof top units (2) MUA  to an existing medical clinic and pharmacy. See HVAC Job#259845081 linked to the TI job.,"Malls, Office/Retail (512)",(03) Exterior Alterations,,35000,"RA8, CSC, MU",0,,,,1,
2017-10-25T00:00:00.000,2017,10,2017-10-25T00:00:00.000,Commercial Final,10628 - 96 STREET NW,Plan ND Blk 19 Lots 7-8,MCCAULEY,1140,To construct interior alterations to an existing commercial building - Boyle McCauley Health Centre.,Office Buildings (520),(03) Interior Alterations,808,75000,UF,0,53.55137808313695,-113.48617730568668,,1,
2017-10-19T00:00:00.000,2017,10,2017-10-19T00:00:00.000,Commercial Final,6647 - 177 STREET NW,Plan 8320631 Blk 9 Lot 8,CALLINGWOOD SOUTH,4080,To construct interior alterations to an existing dental/orthodontics office.,Office Buildings (520),(03) Interior Alterations,4531,232040,CG,0,53.50268845425715,-113.62579325595202,,1,
2017-10-17T00:00:00.000,2017,10,2017-10-17T00:00:00.000,Commercial Final,3584 - ALLAN DRIVE SW,Condo Common Area (Plan 1721160),AMBLESIDE,5505,"To construct interior alterations to an existing tenant space in a business and personal service building, fit up for a dental clinic.",Office Buildings (520),(03) Interior Alterations,1940,150000,DC1,0,53.42833517661936,-113.59233088629568,,1,
2017-10-17T00:00:00.000,2017,10,2017-10-17T00:00:00.000,Commercial Final,"120, 10621 - 100 AVENUE NW",Plan NB Blk 6 Lots 47-50,DOWNTOWN,1090,To operate a Health Service Use (Dr. Luu Dental),Office Buildings (520),(03) Interior Alterations,2200,167200,CMU,0,53.53846102226829,-113.50422276920925,,1,
2017-10-17T00:00:00.000,2017,10,2017-10-17T00:00:00.000,Commercial Final,"27FL, 10020 - 100 STREET NW",Plan 384TR Lot 12A,DOWNTOWN,1090,To construct interior alterations to an existing office space for College of Physicians and Surgeons. Scope of work is to reconfigure file room for new workstations ONLY,Office Buildings (520),(03) Interior Alterations,720,18712,CCA,0,53.53993637343808,-113.49125577673311,,1,
2017-10-13T00:00:00.000,2017,10,2017-10-13T00:00:00.000,Commercial Final,10625 - 124 STREET NW,Plan RN22 Blk 24 Lot 6,WESTMOUNT,3440,To change the use from a Commercial School to a Health Service & to construct interior alterations.  Glasses Half Full - Optometry Clinic.,Office Buildings (520),(03) Interior Alterations,2099,285000,MU,0,53.550101396688234,-113.53539537935595,,1,
2017-10-11T00:00:00.000,2017,10,2017-10-11T00:00:00.000,Commercial Final,2718 - 141 STREET SW,Plan 1623873 Blk 10 Lot 2,HAYS RIDGE AREA,5465,To construct interior alterations in an existing mixed used building for Jagare Ridge Dental. Scope of work includes 2 bf washrooms,Office Buildings (520),(03) Interior Alterations,2963,200000,"CSC, CG",0,53.41110894521459,-113.56677496288358,,1,
2017-10-10T00:00:00.000,2017,10,2017-10-10T00:00:00.000,Commercial Final,10177 - 186 STREET NW,Plan 0626825 Blk 1 Lot 6,SUNWAPTA INDUSTRIAL,4530,To change the Use from the General Retail Stores Use to Health Services Use and to construct interior alterations (Dental Office).,Office Buildings (520),(03) Interior Alterations,2200,350000,CB,0,53.54226578008561,-113.64442604332818,,1,
2017-10-05T00:00:00.000,2017,10,2017-10-05T00:00:00.000,Commercial Final,878 - WEBBER GREENS DRIVE NW,Plan 1324788 Blk 60 Lot 7,SUDER GREENS,4730,To construct interior alterations for a tenant fit up. Physical therapy clinic in a shell CRU.,Office Buildings (520),(03) Interior Alterations,3258,247000,DC1,0,53.52432452872244,-113.66689796371814,,1,
