city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
457564066-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (EMPOWER PHYSIOTHERAPY).,"203, 15170 - 127 STREET NW",Plan 0625614 Blk 16 Lot 5,3150,CUMBERLAND,Anirniq Ward,,3,53.6148709786563,-113.54276154071894,,"{'type': 'Point', 'coordinates': [-113.54276154071894, 53.6148709786563]}",,CSC,2022-12-14T00:00:00.000
456899199-002,Sign Permit,Discretionary Development,Approved,To install a Fascia On-Premises Sign (MAYA DENTAL CLINIC).,"109, 1803 - 91 STREET SW",Condo Common Area (Plan 1721728),6213,SUMMERSIDE,Karhiio Ward,,3,53.41681444800922,-113.47874720788788,,"{'type': 'Point', 'coordinates': [-113.47874720788788, 53.41681444800922]}",,EIB,2022-12-13T00:00:00.000
453879525-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (CRYSTALLINA DENTAL).,6854 - 178 AVENUE NW,Condo Common Area (Plan 2221981),2462,CRYSTALLINA NERA EAST,tastawiyiniwak Ward,,3,53.64175017755008,-113.44402001941388,,"{'type': 'Point', 'coordinates': [-113.44402001941388, 53.64175017755008]}",,CB1,2022-12-07T00:00:00.000
455359155-002,Major Development Permit,Discretionary Development,Approved,To Continue to Operate an Indoor Participation Recreation Service and add a Health Service Use (Physiotherapy Clinic),6740 - 99 STREET NW,Plan 3888HW Blk 33 Lot 16,6110,CPR IRVINE,papastew Ward,,3,53.50466361213019,-113.48753372281385,,"{'type': 'Point', 'coordinates': [-113.48753372281385, 53.50466361213019]}",Industrial,BE,2022-12-01T00:00:00.000
454489098-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (WIC PHYSIOTHERAPY).,"209, 4363 - 167 AVENUE NW","Condo Common Area (Plan 1823461,1823198,1823199,2321186)",2110,BRINTNELL,Dene Ward,,3,53.62793109103365,-113.4072016174051,,"{'type': 'Point', 'coordinates': [-113.4072016174051, 53.62793109103365]}",,CB2,2022-11-28T00:00:00.000
454695422-002,Major Development Permit,Permitted Development,Approved,"To Construct Exterior Alterations (Removal of Overhead Doors) and to Change the Use from Automotive and Equipment Repair Shop to Health Services (Physiotherapy, Chiropractor and Massage Therapy)",10118 - 158 STREET NW,Plan 1924AM Blk 3 Lot 1,4060,BRITANNIA YOUNGSTOWN,Nakota Isga Ward,Stony Plain Road and Area,3,53.54191988348252,-113.59435546752073,,"{'type': 'Point', 'coordinates': [-113.59435546752073, 53.54191988348252]}",Redeveloping,RM,2022-11-24T00:00:00.000
452041749-002,Sign Permit,Permitted Development,Approved,To install (15) Fascia On-Premises Signs (WALMART | PLANET FITNESS | JACK NATHAN HEALTH MEDICAL CENTRE).,6110 - CURRENTS DRIVE NW,Plan 1124080 Blk 14 Lot 21,5505,AMBLESIDE,pihêsiwin Ward,,3,53.437265867194625,-113.60135856347694,,"{'type': 'Point', 'coordinates': [-113.60135856347694, 53.437265867194625]}",,CSCa,2022-11-23T00:00:00.000
438617972-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (GLOBAL CARE PHARMACY).,7006 - 109 STREET NW,Plan 587HW Blk 27 Lot B,5310,PARKALLEN,papastew Ward,,3,53.50684006294225,-113.51245901201776,,"{'type': 'Point', 'coordinates': [-113.51245901201776, 53.50684006294225]}",,CB1,2022-11-17T00:00:00.000
448116332-002,Major Development Permit,Discretionary Development,Approved,"To construct Exterior Alterations to the approved Building #2, and operate multiple commercial Uses, including CRU#1: Health Care; CRU#2 to CRU#4: General Retail Stores; CRU#5: Liquor Store; CRU#6 to CRU#9 General Retail Stores, and to remove the outdoor play area to relocate a loading space and a garbage bin (Amnor Manning Centre, reference DP 295529024-001).",3341 - 153 AVENUE NW,Condo Common Area (Plan 2421328),2251,EBBERS,Dene Ward,,3,53.61492719005257,-113.39174757536924,,"{'type': 'Point', 'coordinates': [-113.39174757536924, 53.61492719005257]}",Developing,DC2,2022-11-07T00:00:00.000
447838401-002,Major Development Permit,Discretionary Development,Approved,"To change the Use of a Personal Service Shop to a Health Service, and to construct an addition (second floor mezzanine), and to construct interior alterations. (Renewed Manual Osteopathic and Wellness Clinic)",9130 - 23 AVENUE NW,"Condo Common Area (Plan 0822030,1220720,0921139)",6570,PARSONS INDUSTRIAL,Karhiio Ward,,3,53.452667414674096,-113.47015596690879,,"{'type': 'Point', 'coordinates': [-113.47015596690879, 53.452667414674096]}",Industrial,BE,2022-11-03T00:00:00.000
452733720-002,Major Development Permit,Discretionary Development,Approved,"To Change the Use from a Professional, Financial and Office Support Service to a Veterinary Service",9793 - 54 AVENUE NW,Plan 1422729 Unit 3,6100,CORONET INDUSTRIAL,papastew Ward,,3,53.4898914309585,-113.48429289157298,,"{'type': 'Point', 'coordinates': [-113.48429289157298, 53.4898914309585]}",Industrial,BE,2022-11-02T00:00:00.000
451850127-002,Major Development Permit,Discretionary Development,Approved,"To change the Use from a Professional, Financial, and Office Support Service to a Health Service (Back in Balance Chiropractic Clinic).","105, 4207 - 98 STREET NW",Plan 0724415 Blk 6 Lot 11,6700,STRATHCONA INDUSTRIAL PARK,Karhiio Ward,,3,53.479471227543456,-113.48089049324338,,"{'type': 'Point', 'coordinates': [-113.48089049324338, 53.479471227543456]}",Industrial,BE,2022-11-01T00:00:00.000
452010824-002,Major Development Permit,Permitted Development,Approved,To change the Use from General Industrial to an Animal Hospitals and Shelters use with an accessory General Retail Store.,8410 - DAVIES ROAD NW,Plan 3680RS Blk 17 Lot 3A,6170,DAVIES INDUSTRIAL WEST,Métis Ward,,3,53.49493118308675,-113.45255094173629,,"{'type': 'Point', 'coordinates': [-113.45255094173629, 53.49493118308675]}",Industrial,IM,2022-11-01T00:00:00.000
451177933-002,Major Development Permit,Discretionary Development,Approved,To change the Use of a portion of a Health Service to a Convenience Retail Store (1230 PHARMACY & TRAVEL CLINIC).,"102, 1230 - 91 STREET SW","Condo Common Area (Plan 2020500,1921745,2120212,1920749,1923361)",6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,3,53.422259698992136,-113.47642984225503,,"{'type': 'Point', 'coordinates': [-113.47642984225503, 53.422259698992136]}",Industrial,EIB,2022-10-26T00:00:00.000
446895443-002,Sign Permit,Discretionary Development,Approved,To install (2) Fascia On-Premises Signs (STRATICA MEDICAL),"2FL, 10140 - 117 STREET NW",Plan 7261AB Blk 17 Lot 90,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,3,53.54188562890959,-113.52366777508402,,"{'type': 'Point', 'coordinates': [-113.52366777508402, 53.54188562890959]}",,DC1,2022-10-26T00:00:00.000
450101092-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (CSDP# 282607694-004) (MOSAIC SPEECH THERAPY),"205, 7609 - 109 STREET NW","Condo Common Area (Plan 1720082,1423850)",5330,QUEEN ALEXANDRA,papastew Ward,,3,53.51261413845252,-113.51150893491945,,"{'type': 'Point', 'coordinates': [-113.51150893491945, 53.51261413845252]}",,CB1,2022-10-25T00:00:00.000
447326773-002,Major Development Permit,Discretionary Development,Approved,"To construct exterior alterations (installing non-printed, non signage perforated Vinyl on existing glass windows) to a General Retail Store and Health Service (Pro-Care Pharmacy and Clinic).",8906 - 149 STREET NW,Plan 9621254 Blk 2 Lot 25,4230,JASPER PARK,sipiwiyiniwak Ward,,3,53.521434130337724,-113.57850025072378,,"{'type': 'Point', 'coordinates': [-113.57850025072378, 53.521434130337724]}",Redeveloping,DC2,2022-10-11T00:00:00.000
448944613-002,Sign Permit,Permitted Development,Approved,To install (4) Fascia On-Premises Sign (JASPER PRO CARE PHARMACY & CLINIC LTD).,11408 - JASPER AVENUE NW,Plan B3 Blk 14 Lots 78-79,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,3,53.54128144268812,-113.51805500035206,,"{'type': 'Point', 'coordinates': [-113.51805500035206, 53.54128144268812]}",,DC1,2022-10-06T00:00:00.000
448783809-002,Major Development Permit,Discretionary Development,Approved,"To change the use of one unit inside a Professional, Financial, Office Support Service building to a Health Service (psychologist clinic) and to construct interior alterations","376, 13220 - ST ALBERT TRAIL NW",Plan 8121092 Blk 12 Lot 12A,4050,BONAVENTURE INDUSTRIAL,Anirniq Ward,,3,53.592668398831194,-113.56897674041562,,"{'type': 'Point', 'coordinates': [-113.56897674041562, 53.592668398831194]}",Industrial,BE,2022-09-29T00:00:00.000
442786740-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (CSDP# 448191425-002 | SG3) (BRAUN DENTURE CLINIC),14824 - STONY PLAIN ROAD NW,Plan 7601AE Blk 12 Lots 37-39,3210,GROVENOR,Nakota Isga Ward,Stony Plain Road and Area,3,53.54232647668176,-113.57711030271716,,"{'type': 'Point', 'coordinates': [-113.57711030271716, 53.54232647668176]}",,CSC,2022-09-26T00:00:00.000
440130328-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (CSDP# 448191425-002 | SG4) (WESTGROVE PHARMACY REMEDY RX),14822 - STONY PLAIN ROAD NW,Plan 7601AE Blk 12 Lots 37-39,3210,GROVENOR,Nakota Isga Ward,Stony Plain Road and Area,3,53.54232647668176,-113.57711030271716,,"{'type': 'Point', 'coordinates': [-113.57711030271716, 53.54232647668176]}",,CSC,2022-09-26T00:00:00.000
445958653-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (CSDP# 407420011-002 | Location 2a-7)(RG PHARMACY CLINIC).,"4, 5098 - WINDERMERE BOULEVARD NW",Plan 0723371 Blk 14 Lot 1,5505,AMBLESIDE,pihêsiwin Ward,,3,53.43465924813375,-113.59469622828487,,"{'type': 'Point', 'coordinates': [-113.59469622828487, 53.43465924813375]}",,DC1,2022-09-26T00:00:00.000
447960315-002,Major Development Permit,Discretionary Development,Approved,"To change the use from Professional, Financial, Office Support Service to Health Service (counselling and therapy clinic)","2FL, 8740 - 51 AVENUE NW",Plan 7620382 Blk 12 Lot 5,6430,MCINTYRE INDUSTRIAL,Karhiio Ward,,3,53.48899147654727,-113.45973972717404,,"{'type': 'Point', 'coordinates': [-113.45973972717404, 53.48899147654727]}",Industrial,BE,2022-09-23T00:00:00.000
433920539-002,Sign Permit,Discretionary Development,Approved,To install (1) Minor Digital On-Premises Sign [Fascia] (curved 6.7m x 1.0m facing SW) (INSIGHT MEDICAL | Unity Square).,11560 - 104 AVENUE NW,Plan 9121905 Blk 9D Lot 1,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,4,53.547104034,-113.519257595,,"{'type': 'Point', 'coordinates': [-113.519257595, 53.547104034]}",,DC1,2022-09-23T00:00:00.000
445170203-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (ABSOLUTE CHIROPRACTIC).,6416 - CARTMELL PLACE SW,Condo Common Area (Plan 2021101),5462,CHAPPELLE AREA,Ipiihkoohkanipiaohtsi Ward,,3,53.397285215388166,-113.57012227034195,,"{'type': 'Point', 'coordinates': [-113.57012227034195, 53.397285215388166]}",,CB2,2022-09-20T00:00:00.000
442895484-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (Window Signs) (PRO CARE MEDICAL CLINIC & PHARMACY),8906 - 149 STREET NW,Plan 9621254 Blk 2 Lot 25,4230,JASPER PARK,sipiwiyiniwak Ward,,3,53.521434130337724,-113.57850025072378,,"{'type': 'Point', 'coordinates': [-113.57850025072378, 53.521434130337724]}",,DC2,2022-09-14T00:00:00.000
444433730-002,Sign Permit,Discretionary Development,Approved,To install a Fascia On-Premises Sign (KLARVATTEN MEDICAL CENTRE),16721 - 84 STREET NW,Plan 9926453 Blk 12 Lot 124,2440,KLARVATTEN,tastawiyiniwak Ward,,3,53.62930909328395,-113.46944953386782,,"{'type': 'Point', 'coordinates': [-113.46944953386782, 53.62930909328395]}",,CNC,2022-09-08T00:00:00.000
441364507-002,Major Development Permit,Permitted Development,Approved,To construct an addition to an Extended Medical Treatment Facility (Mechanical Penthouse addition at level 6 of Walter C. Mackenzie Health Science Centre building.),8440 - 112 STREET NW,Plan 9826528 Lot 6,5520,UNIVERSITY OF ALBERTA,papastew Ward,,3,53.52076421422514,-113.52318679939694,,"{'type': 'Point', 'coordinates': [-113.52318679939694, 53.52076421422514]}",Redeveloping,AJ,2022-09-02T00:00:00.000
439342448-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (ULTRAWHITE CLINIC).,10909 - JASPER AVENUE NW,Plan NB Blk 9 Lots 44-46,1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.540606776702134,-113.50902923778162,,"{'type': 'Point', 'coordinates': [-113.50902923778162, 53.540606776702134]}",,JAMSC,2022-08-31T00:00:00.000
443464302-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (VIRA PHYSIOTHERAPY & SPORTS INJURY CLINIC),722 - TAMARACK WAY NW,Plan 1420502 Blk 13 Lot 3,6443,TAMARACK,Sspomitapi Ward,,3,53.477512338839055,-113.36616806287478,,"{'type': 'Point', 'coordinates': [-113.36616806287478, 53.477512338839055]}",,DC1,2022-08-23T00:00:00.000
438629545-002,Sign Permit,Not Available,Approved,To install (2) Fascia On-Premises Signs and a Projecting On-Premises Sign (CHARLESWORTH PHARMACY).,3719 - 8 AVENUE SW,Plan 1623687 Blk 6 Lot 1,6661,CHARLESWORTH,Karhiio Ward,,3,53.42541827681588,-113.39854738618453,,"{'type': 'Point', 'coordinates': [-113.39854738618453, 53.42541827681588]}",,,2022-08-15T00:00:00.000
443136734-002,Major Development Permit,Discretionary Development,Approved,To Change the Use from an Indoor Participant Recreation Service to a Health Service (Physiotherapy Clinic),11996 - 109A AVENUE NW,"Plan 3256HW Blk 19 Lots B,C",1180,QUEEN MARY PARK,O-day'min Ward,,3,53.556453490315505,-113.52796898666239,,"{'type': 'Point', 'coordinates': [-113.52796898666239, 53.556453490315505]}",Redeveloping,BE,2022-08-12T00:00:00.000
439736838-002,Major Development Permit,Permitted Development,Approved,To construct an Addition (8.45 sq.m.) and Exterior Alterations to approved DP 422921008-002 for an Animal Hospital and Shelter building (VCA Canada Guardian).,5620 - 99 STREET NW,Plan 6712KS Blk 14 Lot 1,6100,CORONET INDUSTRIAL,papastew Ward,,3,53.49215887271248,-113.4872012065627,,"{'type': 'Point', 'coordinates': [-113.4872012065627, 53.49215887271248]}",Industrial,IM,2022-08-05T00:00:00.000
440968957-002,Sign Permit,Permitted Development,Approved,To install (3) Fascia On-Premises Sign (DELTA MEDICAL CLINIC | PHARMACY).,12143 - 97 STREET NW,Plan 1423203 Blk 24 Lot 5A,1010,ALBERTA AVENUE,Métis Ward,,3,53.5763019188978,-113.49152758421744,,"{'type': 'Point', 'coordinates': [-113.49152758421744, 53.5763019188978]}",,CNC,2022-08-04T00:00:00.000
441177434-002,Major Development Permit,Permitted Development,Approved,To change the Use from General Industrial to an Animal Hospital and Shelters and construct exterior alterations (two outdoor dog runs with 1.83m high fence).,4503 - MORRIS ROAD NW,Condo Common Area (Plan 8122516),6540,MORRIS INDUSTRIAL,Métis Ward,,3,53.519984437394484,-113.41111523741866,,"{'type': 'Point', 'coordinates': [-113.41111523741866, 53.519984437394484]}",Industrial,IM,2022-07-27T00:00:00.000
432933977-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (INSIGHT MEDICAL).,6466 - 28 AVENUE NW,Plan 8220154 Blk 5 Lot 4,6720,TAWA,Karhiio Ward,,3,53.45958217207449,-113.43158872735658,,"{'type': 'Point', 'coordinates': [-113.43158872735658, 53.45958217207449]}",,DC2,2022-07-26T00:00:00.000
438230886-002,Major Development Permit,Discretionary Development,Approved,"To construct interior and exterior alterations to an Animal Hospital and Shelters building (revision to DP#406105532-002, West Med Clinic; removing Atrium Feature, front Canopy, and paved parking stalls at south of property, removing one molok unit and one parking light standard).",13940 - 164 STREET NW,Plan 2220780 Blk 8 Lot 4,4320,MISTATIM INDUSTRIAL,Anirniq Ward,,3,53.60143676350501,-113.60546333798666,,"{'type': 'Point', 'coordinates': [-113.60546333798666, 53.60143676350501]}",Industrial,BE,2022-07-22T00:00:00.000
439626173-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (CHIROPRACTIC MASSAGE THERAPY),13123 - 82 STREET NW,Plan 4469MC Blk 14 Lot 52,2020,BALWIN,tastawiyiniwak Ward,,3,53.59191618288672,-113.46670008323156,,"{'type': 'Point', 'coordinates': [-113.46670008323156, 53.59191618288672]}",,CNC,2022-07-20T00:00:00.000
439817321-002,Sign Permit,Discretionary Development,Approved,To install (1) Fascia On-Premises Sign (WATSON FAMILY CHIROPRACTIC).,"302, 2435 - 90B STREET SW",Condo Common Area (Plan 1620228),6213,SUMMERSIDE,Karhiio Ward,,3,53.41094891389214,-113.47949957640668,,"{'type': 'Point', 'coordinates': [-113.47949957640668, 53.41094891389214]}",,DC2,2022-07-19T00:00:00.000
440121544-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (MAPLE DENTAL CLINIC).,16737 - 84 STREET NW,Plan 9926453 Blk 12 Lot 124,2440,KLARVATTEN,tastawiyiniwak Ward,,3,53.62930909328395,-113.46944953386782,,"{'type': 'Point', 'coordinates': [-113.46944953386782, 53.62930909328395]}",,CNC,2022-07-14T00:00:00.000
437063813-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (LEADING EDGE PHYSIOTHERAPY).,4968 - 98 AVENUE NW,Plan 8222786 Blk 7 Lot 1,6180,EASTGATE BUSINESS PARK,Métis Ward,,3,53.53795243298932,-113.41619772404499,,"{'type': 'Point', 'coordinates': [-113.41619772404499, 53.53795243298932]}",,CB2,2022-06-21T00:00:00.000
434872965-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (HELIO OPTOMETRY),9516 - 149 STREET NW,Plan 5229AD Blk 67 Lots 7-10,4580,WEST JASPER PLACE,Nakota Isga Ward,,3,53.53188417615431,-113.57853617963079,,"{'type': 'Point', 'coordinates': [-113.57853617963079, 53.53188417615431]}",,CNC,2022-06-17T00:00:00.000
436891441-002,Major Development Permit,Permitted Development,Approved,To Construct Exterior Alterations (Replace Doors with Windows) and to Change the Use to a Health Service (Physiotherapy Clinic),4968 - 98 AVENUE NW,Plan 8222786 Blk 7 Lot 1,6180,EASTGATE BUSINESS PARK,Métis Ward,,3,53.53795243298932,-113.41619772404499,,"{'type': 'Point', 'coordinates': [-113.41619772404499, 53.53795243298932]}",Industrial,CG,2022-06-17T00:00:00.000
436386888-002,Major Development Permit,Permitted Development,Approved,To Change the Use from a Childcare Services to a General Retail Store (Pharmacy),3719 - 8 AVENUE SW,Plan 1623687 Blk 6 Lot 1,6661,CHARLESWORTH,Karhiio Ward,,3,53.42541827681588,-113.39854738618453,,"{'type': 'Point', 'coordinates': [-113.39854738618453, 53.42541827681588]}",Developing,DC1,2022-06-10T00:00:00.000
429319533-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (EDMONTON MEDICAL HOME & RX PHARMACY),15012 - 107 AVENUE NW,Condo Common Area (Plan 9724369),4200,HIGH PARK,Nakota Isga Ward,,3,53.551413494057286,-113.58033060588411,,"{'type': 'Point', 'coordinates': [-113.58033060588411, 53.551413494057286]}",,CNC,2022-06-08T00:00:00.000
435683107-002,Major Development Permit,Discretionary Development,Approved,To change the Use from a General Retail Store to a Veterinary Service and construct interior alterations (expansion of existing Castledowns Animal Hospital).,10219A - 164 AVENUE NW,Plan 7520496 Blk 30 Lot 2,3280,LORELEI,tastawiyiniwak Ward,,3,53.6252385846208,-113.50052132574913,,"{'type': 'Point', 'coordinates': [-113.50052132574913, 53.6252385846208]}",Redeveloping,CN,2022-06-07T00:00:00.000
434859567-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (RECOVR PHYSIOTHERAPY),1468 - MCCONACHIE BOULEVARD NW,Plan 1821486 Blk 24 Lot 118,2522,MCCONACHIE,Dene Ward,,3,53.639692080146645,-113.441561945808,,"{'type': 'Point', 'coordinates': [-113.441561945808, 53.639692080146645]}",,CB1,2022-06-07T00:00:00.000
435814542-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (A to Z CARE PHARMACY).,15956 - 109 AVENUE NW,Plan 2778KS Blk 8 Lot C,4290,MAYFIELD,Nakota Isga Ward,,3,53.55404858729303,-113.5980503399094,,"{'type': 'Point', 'coordinates': [-113.5980503399094, 53.55404858729303]}",,CNC,2022-06-07T00:00:00.000
432249958-002,Major Development Permit,Discretionary Development,Approved,"To change the use from Professional, Financial, Office Support Service to Health Service (PRP treatment, Boxtox and filler clinic)","102, 1253 - 91 STREET SW",Plan 0525919 Blk 2 Lot 92,6213,SUMMERSIDE,Karhiio Ward,,3,53.42149445758153,-113.47452941509817,,"{'type': 'Point', 'coordinates': [-113.47452941509817, 53.42149445758153]}",Developing,EIB,2022-06-06T00:00:00.000
434719385-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (IDA KLARVATTEN PHARMACY),16729 - 84 STREET NW,Plan 9926453 Blk 12 Lot 124,2440,KLARVATTEN,tastawiyiniwak Ward,,3,53.62930909328395,-113.46944953386782,,"{'type': 'Point', 'coordinates': [-113.46944953386782, 53.62930909328395]}",,CNC,2022-06-03T00:00:00.000
434477081-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia On-Premises Sign (EDMONTON SOUTH ANIMAL HOSPITAL),3823 - 99 STREET NW,Plan 9120758 Blk 4 Lot 7,6700,STRATHCONA INDUSTRIAL PARK,Karhiio Ward,,3,53.47230362865978,-113.4853377088078,,"{'type': 'Point', 'coordinates': [-113.4853377088078, 53.47230362865978]}",,IB,2022-06-02T00:00:00.000
434091893-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (EVOLUTION PHYSIOTHERAPY),20027 - LESSARD ROAD NW,Plan 2420692 Blk 1 Lot 64,4462,EDGEMONT,sipiwiyiniwak Ward,,3,53.47641332527158,-113.67277130184557,,"{'type': 'Point', 'coordinates': [-113.67277130184557, 53.47641332527158]}",,CSC,2022-06-02T00:00:00.000
431691448-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (EMERALD DOWNTOWN PHARMACY &TRAVEL CLINIC),9943 - 109 STREET NW,Condo Common Area (Plan 0628335),1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.53839336771695,-113.50788093755689,,"{'type': 'Point', 'coordinates': [-113.50788093755689, 53.53839336771695]}",,CMU,2022-05-31T00:00:00.000
434386138-002,Major Development Permit,Permitted Development,Approved,To change the Use from a General Retail Store and Personal Service Shop to a Veterinary Services use and construct interior alterations (Whitemud Crossing Animal Hospital).,"109, 4211 - 106 STREET NW",Plan 8721793 Blk 37 Lot 2,5360,RIDEAU PARK,papastew Ward,,3,53.479675306998175,-113.50243699271883,,"{'type': 'Point', 'coordinates': [-113.50243699271883, 53.479675306998175]}",Redeveloping,CG,2022-05-25T00:00:00.000
434125051-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (WEST JASPER PHARMACY),9512 - 149 STREET NW,Plan 5229AD Blk 67 Lots 7-10,4580,WEST JASPER PLACE,Nakota Isga Ward,,3,53.53188417615431,-113.57853617963079,,"{'type': 'Point', 'coordinates': [-113.57853617963079, 53.53188417615431]}",,CNC,2022-05-24T00:00:00.000
433947465-002,Sign Permit,Discretionary Development,Approved,To install a Fascia On-Premises Sign and a Projecting On-Premises Sign (NEW SPROUT PHARMACY / 2388896 ALBERTA INC.).,13328 - 114 AVENUE NW,Plan 1623280 Unit 3,3450,WOODCROFT,Anirniq Ward,The Crossroads,3,53.56482091515289,-113.55248788177065,,"{'type': 'Point', 'coordinates': [-113.55248788177065, 53.56482091515289]}",,RA9,2022-05-24T00:00:00.000
431910271-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (DENTAL CHOICE RABBIT HILL),14264 - 23 AVENUE NW,Plan 9823652 Blk 154 Lot 2,5630,LEGER,pihêsiwin Ward,,3,53.45466690035097,-113.56729962255676,,"{'type': 'Point', 'coordinates': [-113.56729962255676, 53.45466690035097]}",,CSC,2022-05-18T00:00:00.000
430188348-002,Sign Permit,Permitted Development,Approved,To install (6) Fascia On-Premises Signs ((3) WALMART SUPERCENTRE | SAVE MONEY LIVE BETTER | PICKUP | PHARMACY),"100, 1 - MEADOWLARK PARK SHOPPING CENTRE NW",Plan 9924575 Blk 10 Lot 2,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,,3,53.52094326340081,-113.5933565417788,,"{'type': 'Point', 'coordinates': [-113.5933565417788, 53.52094326340081]}",,CSC,2022-05-18T00:00:00.000
433249990-002,Sign Permit,Permitted Development,Approved,To install (3) Fascia On-Premises Signs (ASPEN PHARMACY).,7149 - WINTERBURN ROAD NW,Plan 2522068 Blk 1 Lot 124,4551,GRANVILLE,sipiwiyiniwak Ward,,3,53.5070314355508,-113.68699737576611,,"{'type': 'Point', 'coordinates': [-113.68699737576611, 53.5070314355508]}",,DC1,2022-05-18T00:00:00.000
433113877-002,Major Development Permit,Permitted Development,Approved,To operate a Health Service and to construct interior alterations (physiotherapy clinic),"1150, 5015 - 111 STREET NW",Plan 0725320 Blk D Lot 4A,5170,EMPIRE PARK,papastew Ward,,3,53.485762875913636,-113.51347797562465,,"{'type': 'Point', 'coordinates': [-113.51347797562465, 53.485762875913636]}",Redeveloping,DC2,2022-05-13T00:00:00.000
431535634-002,Sign Permit,Permitted Development,Approved,To install (3) Freestanding On-Premises Sign (relocation) (MEADOWLARK HEALTH CENTRE).,1 - MEADOWLARK PARK SHOPPING CENTRE NW,Plan 9924575 Blk 10 Lot 2,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,,3,53.52094326340081,-113.5933565417788,,"{'type': 'Point', 'coordinates': [-113.5933565417788, 53.52094326340081]}",,CSC,2022-05-13T00:00:00.000
429252185-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (ICON CHIROPRACTIC AND WELLNESS CLINIC).,555 - MISTATIM WAY NW,Condo Common Area (Plan 2120800),4320,MISTATIM INDUSTRIAL,Anirniq Ward,,3,53.60194873275583,-113.58150954859039,,"{'type': 'Point', 'coordinates': [-113.58150954859039, 53.60194873275583]}",,CB2,2022-05-12T00:00:00.000
431716488-002,Major Development Permit,Permitted Development,Approved,To change the use of a portion of a Creation and Production Establishment to a General Industrial use (Image Medical Supplies),14204 - 128 AVENUE NW,Condo Common Area (Plan 1521545),4050,BONAVENTURE INDUSTRIAL,Anirniq Ward,,3,53.58533662291147,-113.5669724162423,,"{'type': 'Point', 'coordinates': [-113.5669724162423, 53.58533662291147]}",Industrial,IM,2022-05-09T00:00:00.000
430732782-002,Sign Permit,Permitted Development,Approved,To install (20) Window Signs (Fascia On-Premises Signs) (360 SQUARE IDA PHARMACY AND MEDICAL CLINIC).,13204 - 118 AVENUE NW,"Plan 1464KS Blk 1 Lots 54,55U,56U,57U,58U",3170,DOVERCOURT,Anirniq Ward,The Crossroads,3,53.57105146256128,-113.55079941084928,,"{'type': 'Point', 'coordinates': [-113.55079941084928, 53.57105146256128]}",,CSC,2022-05-06T00:00:00.000
430857892-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (CRESTWOOD DENTAL CHOICE),9636 - 149 STREET NW,Plan 6231ET Blk 66 Lot 3,4580,WEST JASPER PLACE,Nakota Isga Ward,,3,53.534171947387804,-113.57853665156351,,"{'type': 'Point', 'coordinates': [-113.57853665156351, 53.534171947387804]}",,CNC,2022-05-06T00:00:00.000
