city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
504165156-002,Major Development Permit,Not Available,Other,To change the use from Indoor Sales and Service to a Health Service and to construct interior alterations (dental clinic),"150, 5055 - 101 AVENUE NW",Plan 2542NY Blk 3 Lot 1,6550,OTTEWELL,Métis Ward,,3,53.53942390548561,-113.42156092793391,,"{'type': 'Point', 'coordinates': [-113.42156092793391, 53.53942390548561]}",Redeveloping,MU,
624324286-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (IV clinic) and to construct interior alterations,"105, 7319 - 29 AVENUE NW",Plan 2420878 Blk 7 Lot 4B,6340,KAMEYOSEK,Karhiio Ward,,4,53.45925503,-113.444931141,,"{'type': 'Point', 'coordinates': [-113.444931141, 53.45925503]}",Redeveloping,DC2,
663814667-002,Major Development Permit,Not Available,Other,To Change the Use from Offices to a Health Service (Dental Clinic),"215, 14925 - 111 AVENUE NW",Plan 191KS Blk 17 Lot 1,4200,HIGH PARK,Nakota Isga Ward,,3,53.5585078175447,-113.57894489540902,,"{'type': 'Point', 'coordinates': [-113.57894489540902, 53.5585078175447]}",Redeveloping,CG,
349807207-002,Major Development Permit,Not Available,Other,"To construct and operate a three Storey Commercial Building with one General Retail Store and one Restaurant (111 square meters of Public Space with 93 seats) on the main floor; Health Services, General Retail Stores (pharmacy) and Urban Indoor Farm (vertical farm) on the second floor; and Professional, Financial and Office Support Services on the third floor; with a rooftop Urban Garden (24 garden plots) and rooftop covered patio and vesitbule.","110, 15347 - STONY PLAIN ROAD NW",Plan 5229AD Blk 21 Lot 5,4580,WEST JASPER PLACE,Nakota Isga Ward,Stony Plain Road and Area,3,53.54099306325109,-113.58626204995078,,"{'type': 'Point', 'coordinates': [-113.58626204995078, 53.54099306325109]}",Redeveloping,MU,
640106510-002,Sign Permit,Not Available,Other,"To install a Fascia Sign limited to On-premises Advertising, and a Projecting Sign not in the form of a Roof Sign limited to On-premises Advertising (CITY CENTRE MEDICAL CLINIC).",10560 - 97 STREET NW,Plan NA Blk 9 Lot 14,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.54999105479824,-113.48903153500041,,"{'type': 'Point', 'coordinates': [-113.48903153500041, 53.54999105479824]}",,,
245152848-001,Sign Permit,Not Available,Refused,To construct 1 Minor Digital Off-Premises Sign (Capital Hill Dental),14109 - STONY PLAIN ROAD NW,Plan 3669HW Blk 130 Lot 16,3200,GLENORA,Nakota Isga Ward,Stony Plain Road and Area,3,53.542648557409066,-113.56513168929172,,"{'type': 'Point', 'coordinates': [-113.56513168929172, 53.542648557409066]}",,CSC,
562466042-002,Major Development Permit,Not Available,Other,To Change the Use from Offices to Health Services (Physiotherapy Clinic),"300, 9861 - 89 AVENUE NW",Plan 8220520 Blk 118 Lot 40A,5480,STRATHCONA,papastew Ward,,3,53.52419843207817,-113.4856933249939,,"{'type': 'Point', 'coordinates': [-113.4856933249939, 53.52419843207817]}",Redeveloping,MU,
510412097-002,Sign Permit,Not Available,Other,To install (1) Fascia Sign(s) limited to On-premises Advertising (Reemake Skin Medical Spa & Laser Clinic),6858 - 178 AVENUE NW,Condo Common Area (Plan 2221981),2462,CRYSTALLINA NERA EAST,tastawiyiniwak Ward,,3,53.64175017574951,-113.44402001868147,,"{'type': 'Point', 'coordinates': [-113.44402001868147, 53.64175017574951]}",,,
370118051-002,Major Development Permit,Not Available,Other,To change the use from Personal Service Shop to Convenience Retail Store (pharmacy) and to construct interior alterations,4516 - 118 AVENUE NW,Condo Common Area (Plan 1025138),2040,BEACON HEIGHTS,Métis Ward,Beverly,3,53.57062222618162,-113.41159443930755,,"{'type': 'Point', 'coordinates': [-113.41159443930755, 53.57062222618162]}",Redeveloping,MU,
475547575-002,Major Development Permit,Not Available,Other,To construct interior alterations to an Extended Medical Treatment Service building (freight elevator modernization at Royal Alexandra Hospital),10240 - KINGSWAY NW,Plan 1619KS Blk 2 Lot 313,1030,CENTRAL MCDOUGALL,O-day'min Ward,Kingsway,3,53.55740028240453,-113.49815574329435,,"{'type': 'Point', 'coordinates': [-113.49815574329435, 53.55740028240453]}",Redeveloping,UF,
377857849-002,Sign Permit,Not Available,Other,To install (1) Fascia On-Premises Sign(s) (G&E PHARMACY LTD),7326 - 82 AVENUE NW,Plan 7884AH Blk 28 Lots 5-6,6350,KENILWORTH,Métis Ward,,9,53.51835719161503,-113.44062549476274,,"{'type': 'Point', 'coordinates': [-113.44062549476274, 53.51835719161503]}",,,
655689279-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and Indoor Sales and Service and to construct interior alterations (medical clinic and pharmacy),"104A, 10430 - 61 AVENUE NW",Plan 4976KS Blk 40 Lot 2,5010,ALLENDALE,papastew Ward,,3,53.49869006939372,-113.49961137388237,,"{'type': 'Point', 'coordinates': [-113.49961137388237, 53.49869006939372]}",Redeveloping,CG,
409522991-002,Major Development Permit,Not Available,Other,To change the Use from a Child Care Service to a General Retail Store (Pharmacy) and to construct interior alterations.,"102, 17327 - 69 AVENUE NW",Condo Common Area (Plan 8323220),4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,,3,53.50219500983569,-113.62318863668256,,"{'type': 'Point', 'coordinates': [-113.62318863668256, 53.50219500983569]}",Redeveloping,RL,
555116932-002,Major Development Permit,Not Available,Other,To Change the Use from an Office to a Health Service (Medical Clinic),14310W - 111 AVENUE NW,Plan 7820954 Blk 1 Lot 4A,3230,HUFF BREMNER ESTATE INDUSTRIAL,Anirniq Ward,,3,53.55933309360561,-113.56850057678818,,"{'type': 'Point', 'coordinates': [-113.56850057678818, 53.55933309360561]}",Industrial,BE,
378071333-002,Sign Permit,Not Available,Refused,To install (3) Fascia On-Premises Sign(s) (CHINATOWN IPHARMACY INC.),9656 - 107A AVENUE NW,Plan ND Blk 26 Lots 25-27,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.553090228136966,-113.48953083733967,,"{'type': 'Point', 'coordinates': [-113.48953083733967, 53.553090228136966]}",,,
310922218-001,Major Development Permit,Discretionary Development,Other,To change the Use from Veterinary Services to Child Care Services (71 children) and to construct an outdoor play space.,5227 - 167 AVENUE NW,Plan 0829853 Blk 63 Lot 101,2340,HOLLICK-KENYON,Dene Ward,,3,53.627730321598825,-113.41547303842924,,"{'type': 'Point', 'coordinates': [-113.41547303842924, 53.627730321598825]}",Developing,CG,
659516332-002,Major Development Permit,Not Available,In Progress,"To construct a 2 Storey non-residential building, including Indoor Sales and Services, Health Care Services, Food and Drink Services and Liquor Store.",16955 - 67 STREET NW,Plan 2522743 Blk 2 Lot 1,2700,SCHONSEE,tastawiyiniwak Ward,,4,53.63181202,-113.443617083,,"{'type': 'Point', 'coordinates': [-113.443617083, 53.63181202]}",Developing,MUN,
459581787-002,Major Development Permit,Not Available,Other,To Operate a Health Service and General Retail Store (Medical Clinic with Pharmacy),"UTIL, 22923 - 97 AVENUE NW",Plan 1922458 Blk 18 Lot 160,4487,SECORD,Nakota Isga Ward,,3,53.5368338574892,-113.7117848702064,,"{'type': 'Point', 'coordinates': [-113.7117848702064, 53.5368338574892]}",Developing,CN,
262879238-001,Major Development Permit,Not Available,Other,To continue to operate a General Industrial Use and construct interior alterations (Medical Marijuana Production Facility).,4103 - 84 AVENUE NW,Plan 3264HW Lot B,6540,MORRIS INDUSTRIAL,Métis Ward,,3,53.51808662604947,-113.40376840731136,,"{'type': 'Point', 'coordinates': [-113.40376840731136, 53.51808662604947]}",Industrial,BE,
654389578-002,Sign Permit,Not Available,Other,To install (4) Projecting Sign(s) not in the form of a Roof Sign limited to On-premises Advertising (Medical Clinic),"101, 1356 - WINDERMERE WAY SW",Condo Common Area (Plan 1421329),5570,WINDERMERE,pihêsiwin Ward,,3,53.43386717526742,-113.61814459841877,,"{'type': 'Point', 'coordinates': [-113.61814459841877, 53.43386717526742]}",,,
471289648-002,Sign Permit,Not Available,Other,To install a Fascia On-Premises Sign (RISE PHYSIOTHERAPY AND PERFORMANCE INC.).,"101, 11515B - 105 AVENUE NW",Plan 1921606 Blk 15 Lot 146A,1180,QUEEN MARY PARK,O-day'min Ward,North Edge,3,53.54797810742054,-113.5202655121185,,"{'type': 'Point', 'coordinates': [-113.5202655121185, 53.54797810742054]}",,,
441991274-002,Major Development Permit,Not Available,Other,To continue to operate a General Retail Store and to construct interior alterations (pharmacy),3719 - 8 AVENUE SW,Plan 1623687 Blk 6 Lot 1,6661,CHARLESWORTH,Karhiio Ward,,3,53.42541827681588,-113.39854738618453,,"{'type': 'Point', 'coordinates': [-113.39854738618453, 53.42541827681588]}",Developing,DC1,
