Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Occupancy_Type,Existing_Residential_Units,Total_End_Residential_Units,Building_Footprint_Area,Number_of_Storeys,Work_Description,Active_Parcel,Date_Inspection_Completed,District,Inspection_Outcome,Overall_Building_Height,Net_New_Units,OBJECTID
BPCOM-2023-05978,5/15/2023 12:00:00 PM,7/13/2023 12:00:00 PM,,7/13/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,77616,6085,COBURG RD,HALIFAX,00068254,482570,Building - Plumbing - Prior to Occupancy,Commercial,Clinic,,,294,2,Renovation for Coburg Animal Clinic,Y,2024-02-26 12:00:00,District 07,Passed,8.53,0,4782
BPCOM-2023-06667,6/27/2023 12:00:00 PM,7/11/2023 12:00:00 PM,10/13/2023 12:00:00 PM,7/11/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Cancelled,8720,117,KEARNEY LAKE RD,HALIFAX,40662413,113500,,Commercial,Clinic,,,5600,1,New private MRI clinic.,Y,,District 10,,5,0,4787
BPCOM-2023-14937,11/17/2023 12:00:00 PM,4/23/2024 12:00:00 PM,,5/19/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,72259,380,PLEASANT ST,DARTMOUTH,40468563,480000,Building - Commercial - Firestop,Commercial,Clinic,,,1391,1,"Scope of Work; renovation of two commercial suites to create Dentistry Clinic (Group D) in existing multi-unit commercial building.

Maximum occupant load reviewed as 50 persons.",Y,2024-11-20 12:00:00,District 03,Passed,3.79,0,4856
BPCOM-2024-06157,5/23/2024 12:00:00 PM,7/3/2024 12:00:00 PM,7/11/2025 12:00:00 PM,7/3/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,55814,230,WYSE RD,DARTMOUTH,00070136,3090477,Building - Commercial - Final,Institutional and Governmental,Clinic,,,1985,1,Renovation of Existing Structure into new Clinic for NSH-IWK & Brotherhood & Sisterhood Clinic,Y,2025-07-11 12:00:00,District 05,Passed,5,0,4940
BPCOM-2024-07216,6/18/2024 12:00:00 PM,7/10/2024 12:00:00 PM,,6/17/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,76006,5268,DACOSTA ROW,HALIFAX,40848822,5708000,Building - Commercial - Prior to Drywall,Institutional and Governmental,Laboratory / Research Use,,,1050,5,"Renovation of Dalhousie A.L MacDonald Building completed over 3 summer phases. Work will include upgrading buildings fire safety and code requirements through sprinklers, firestopping, handrails, etc. Testing/monitoring of hazardous goods will be ongoing during construction.",Y,2026-07-22 12:00:00,District 07,Partially Passed,23.5,0,4960
BPCOM-2024-08584,6/28/2024 12:00:00 PM,7/5/2024 12:00:00 PM,10/15/2024 12:00:00 PM,7/5/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,157982,1624,SACKVILLE DR,MIDDLE SACKVILLE,41342148,98725,Building - Plumbing - Prior to Occupancy,Commercial,Retail Use,,,850,1,"Build nail / pedicure salon at 1624 Sackville Drive for client. 

Commercial space used to be a pharmacy.",Y,2024-09-11 12:00:00,District 14,Passed,4.57,0,4974
BPCOM-2024-09683,7/22/2024 12:00:00 PM,8/13/2024 12:00:00 PM,1/6/2025 12:00:00 PM,8/13/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,139858,205,HECTOR GATE,DARTMOUTH,41285354,750000,Building - Commercial - Final,Commercial,Service Use,,,2522,1,"Scope of Work; Renovate existing commercial leasehold space (Group E) to create Veterinary Clinic (Group D) for 'AprilVets'

Maximum Occupant Load reviewed as 50 Persons.",Y,2025-01-06 12:00:00,District 06,Passed,5.4,0,4986
BPCOM-2024-09935,7/25/2024 12:00:00 PM,8/7/2024 12:00:00 PM,,8/7/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,65482,6061,YOUNG ST,HALIFAX,00153049,195000,Building - Commercial - Final,Commercial,Clinic,,,2547.6,1,Leasehold Improvements for Physiotherapy Clinic,Y,2025-11-24 12:00:00,District 08,Passed,6,0,4988
BPCOM-2024-10217,8/27/2024 12:00:00 PM,9/3/2024 12:00:00 PM,11/26/2025 12:00:00 PM,9/3/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,164065,5793,UNIVERSITY AVE,HALIFAX,00055970,5481000,Building - Commercial - Final,Institutional and Governmental,Post-Secondary Institution,,,1775,5,Completing level 4 & level 5 of the Dalhousie Collaborative Health Education Building which were left unfinished. New equipment for medical research and learning to be installed.,Y,2025-11-26 12:00:00,District 07,Passed,22,0,4990
BPCOM-2024-10811,9/19/2024 12:00:00 PM,4/7/2025 12:00:00 PM,,4/7/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,New Building,New Building,Issued,51796,370,WINDMILL RD,DARTMOUTH,00063545,8050000,Building - Plumbing - Underground,Institutional and Governmental,Clinic,,,795.24,3,New Nova Scotia Health Clinic,Y,2026-07-23 12:00:00,District 05,Cancelled,12.19,0,4996
BPCOM-2024-17122,11/27/2024 12:00:00 PM,7/7/2025 12:00:00 PM,,7/7/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,New Building,New Building,Issued,187339,1075,FALL RIVER RD,FALL RIVER,41541640,62750000,Building - Plumbing - Underground,Institutional and Governmental,Parking Structure,,,2992,5,144 bed nursing home and associated utilities,Y,2026-07-10 12:00:00,District 01,Passed,21.75,0,5031
BPCOM-2024-18958,1/6/2025 12:00:00 PM,3/13/2025 12:00:00 PM,8/30/2025 12:00:00 PM,3/13/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,68114,2269,GOTTINGEN ST,HALIFAX,40682510,450000,Building - Commercial - Final,Commercial,Office,,,1258,2,"Scope of Work; renovation of existing space within community center (Group A2) to create additional offices and counselling rooms for the 'YMCA.'

No change in Maximum Occupant Load Proposed.

'Clinic Space' is limited to counseling services only; Care, Treatment, or Medical Assistance will constitute a change of Occupancy Classification, and is not permitted under the scope of this permit.",Y,2025-08-30 12:00:00,District 08,Passed,12,0,5047
BPCOM-2025-01885,3/10/2025 12:00:00 PM,3/14/2025 12:00:00 PM,2/5/2026 12:00:00 PM,3/14/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,62626,6074,LADY HAMMOND RD,HALIFAX,41528670,500000,Building - Commercial - Final,Commercial,Clinic,,,736.22,4,Tenant Improvement Renovation. Offices and Examination Rooms (NS Health).,Y,2026-02-05 12:00:00,District 08,Passed,15,0,5067
BPCOM-2025-02584,2/28/2025 12:00:00 PM,3/13/2025 12:00:00 PM,8/7/2025 12:00:00 PM,3/13/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,144036,5110,ST MARGARETS BAY RD,UPPER TANTALLON,41410010,368000,Building - Commercial - Final,Commercial,Clinic,,,3500,1,"Scope of work is limited to:
Interior renovations to an existing commercial suite to create a Group D major occupancy type, business is known as 'Tantallon Blood Collections Clinic'.",Y,2025-08-07 12:00:00,District 13,Passed,7,0,5074
BPCOM-2025-05004,4/15/2025 12:00:00 PM,6/30/2025 12:00:00 PM,,6/30/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,77305,6025,COBURG RD,HALIFAX,00136606,1000000,Building - Commercial - Prior to Drywall,Mixed Use - Residential & Other Use(s),Utility Use,1,1,152.63,3,Renovation of an existing single unit dwelling to create Group D clinic (Luma) & Basement Unit,Y,2026-07-24 12:00:00,District 07,Partially Passed,10.79,0,5107
BPCOM-2025-07076,5/13/2025 12:00:00 PM,5/28/2025 12:00:00 PM,1/16/2026 12:00:00 PM,5/28/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,23750,16,DENTITH RD,HALIFAX,00286856,1200000,Building - Commercial - Final,Commercial,Clinic,,,16074.9,2,Renovation to Create Medical Clinic,Y,2026-01-16 12:00:00,District 11,Passed,7,0,5118
