"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","ISSUEDDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","STATSCANADABUILDINGCODE","STATSCANADABUILDINGCODEDESC","STATSCANADAWORKCODE","STATSCANADAWORKCODEDESC","STATSCANADAUNITSCREATED","STATSCANADAUNITSLOST","BUILDINGAREAM2","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","CONSTRUCTIONVALUE"
"BP012426","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/11/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","4/18/2013 12:00:00 AM","4080106170001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","81.10000000","","617","MARIE VAN HAARLEM CRES N","617 MARIE VAN HAARLEM CRES N","1012382","12","5","PLAN 1012382 BLOCK 12 LOT 5","458806","141607.00000000"
"BP012427","BUILDING - RESIDENTIAL","FT & FNDTN","COMPLETED","5/11/2012 12:00:00 AM","5/11/2012 12:00:00 AM","5/17/2012 12:00:00 AM","6/28/2012 12:00:00 AM","4080106170001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","04","FOUNDATION","","","81.10000000","","617","MARIE VAN HAARLEM CRES N","617 MARIE VAN HAARLEM CRES N","1012382","12","5","PLAN 1012382 BLOCK 12 LOT 5","458806","1200.00000000"
"BP012428","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/11/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","3/1/2013 12:00:00 AM","4080106250001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","106.28000000","","625","MARIE VAN HAARLEM CRES N","625 MARIE VAN HAARLEM CRES N","1012382","12","7","PLAN 1012382 BLOCK 12 LOT 7","458808","129705.00000000"
"BP012429","BUILDING - RESIDENTIAL","FT & FNDTN","COMPLETED","5/11/2012 12:00:00 AM","5/11/2012 12:00:00 AM","5/15/2012 12:00:00 AM","9/24/2012 12:00:00 AM","4080106250001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","04","FOUNDATION","","","106.28000000","","625","MARIE VAN HAARLEM CRES N","625 MARIE VAN HAARLEM CRES N","1012382","12","7","PLAN 1012382 BLOCK 12 LOT 7","458808","1000.00000000"
"BP012430","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/11/2012 12:00:00 AM","5/23/2012 12:00:00 AM","5/23/2012 12:00:00 AM","4/26/2013 12:00:00 AM","4080106210001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","105.16000000","","621","MARIE VAN HAARLEM CRES N","621 MARIE VAN HAARLEM CRES N","1012382","12","6","PLAN 1012382 BLOCK 12 LOT 6","458807","118274.00000000"
"BP012431","BUILDING - RESIDENTIAL","FT & FNDTN","COMPLETED","5/11/2012 12:00:00 AM","5/11/2012 12:00:00 AM","5/15/2012 12:00:00 AM","6/14/2012 12:00:00 AM","4080106210001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","04","FOUNDATION","","","105.16000000","","621","MARIE VAN HAARLEM CRES N","621 MARIE VAN HAARLEM CRES N","1012382","12","6","PLAN 1012382 BLOCK 12 LOT 6","458807","1200.00000000"
"BP012432","BUILDING - RESIDENTIAL","SCND-SUITE","COMPLETED","5/11/2012 12:00:00 AM","5/30/2012 12:00:00 AM","5/30/2012 12:00:00 AM","2/21/2013 12:00:00 AM","2028001200001","INDIAN BATTLE HEIGHTS","310","APARTMENT / TRIPLEX / UP DOWN DUPLEX","07","CONV. SINGLE TO MULTIPLE DWELLING","1.00000000","","87.61000000","","120","JERRY POTTS BLVD W","120 JERRY POTTS BLVD W","8011133","4","24","PLAN 8011133 BLOCK 4 LOT 24","249434","23575.00000000"
"BP012433","BUILDING - RESIDENTIAL","BSMNT DEV","COMPLETED","5/11/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","8/30/2012 12:00:00 AM","2060702250005","COPPERWOOD","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","36.60000000","5","225","SILKSTONE RD W","5-225 SILKSTONE RD W","1210941","","91","CONDOMINIUM PLAN 1210941 UNIT 91","461344","9850.00000000"
"BP012434","BUILDING - RESIDENTIAL","DECK","COMPLETED","5/11/2012 12:00:00 AM","5/25/2012 12:00:00 AM","5/25/2012 12:00:00 AM","9/10/2012 12:00:00 AM","2028705750001","COPPERWOOD","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","11.15000000","","575","KEYSTONE CHASE W","575 KEYSTONE CHASE W","1112491","17","54","PLAN 1112491 BLOCK 17 LOT 54","460662","2040.00000000"
"BP012435","BUILDING - RESIDENTIAL","DECK","COMPLETED","5/11/2012 12:00:00 AM","5/29/2012 12:00:00 AM","5/29/2012 12:00:00 AM","5/16/2013 12:00:00 AM","2028705710001","COPPERWOOD","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","11.15000000","","571","KEYSTONE CHASE W","571 KEYSTONE CHASE W","1112491","17","53","PLAN 1112491 BLOCK 17 LOT 53","460661","2040.00000000"
